obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
FOF1_,current/Clinic/G0/partner/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FOM1_,current/Clinic/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM2_,current/Clinic/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM3_,current/Clinic/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM4_,current/Clinic/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
cif_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f07_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f08_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f09_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f10_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F11_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F24_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F30_G1_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tf1_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tf2_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tf3_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
tf4_,current/Clinic/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cp_,current/Other/Cohort Profile/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
mz_,current/Other/Cohort Profile/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
pz_,current/Other/Cohort Profile/G0/partner/,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
G0_IMD_,current/Other/Geo/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
G1_IMD_,current/Other/Geo/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GEO_G0M_,current/Other/Geo/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
cLon_,current/Other/Longitudinal/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
mLon_,current/Other/Longitudinal/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MRI_YP_,current/Other/Longitudinal/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
OA_,current/Other/Obstetric/G0/partner/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
OB_,current/Other/Obstetric/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OC_,current/Other/Obstetric/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Child_bloods_,current/biosamples/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
child_metabolomics_,current/biosamples/G1/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Father_metabolomics_,current/biosamples/G0/partner/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Father_samples_,current/biosamples/G0/partner/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Mother_samples_,current/biosamples/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
mum_metabolomics_,current/biosamples/G0/partner/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
maternal_grandfather_social_class_,current/other/social class/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
maternal_grandmother_social_class_,current/other/social class/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
mother_social_class_,current/other/social class/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
partner_complete_,current/other/social class/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
partner_proxy_social_class_,current/other/social class/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
paternal_grandfather_social_class_,current/other/social class/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
paternal_grandmother_social_class_,current/other/social class/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ka_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kb_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kc_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kd_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ke_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kf_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kg_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kj_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kk_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kl_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
km_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kn_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kp_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kq_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kr_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ks_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kt_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ku_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kv_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kw_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ta_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
tb_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
tc_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
td_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
te_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
txa_,current/quest/G1/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CCA_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccb_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccc_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccd_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cce_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccf_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccg_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cch_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccj_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cck_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccl_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccm_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccn_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccp_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccq_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
