obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
FOF1_,Current/Clinic/Adult/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FOM1_,Current/Clinic/Adult/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM2_,Current/Clinic/Adult/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM3_,Current/Clinic/Adult/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FOM4_,Current/Clinic/Adult/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
cif_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
f07_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
f08_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
f09_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
f10_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
F11_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
F24_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
tf1_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
tf2_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
tf3_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
tf4_,Current/Clinic/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
cp_,Current/Other/Cohort Profile/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mz_,Current/Other/Cohort Profile/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
pz_,Current/Other/Cohort Profile/,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
G0_IMD_,Current/Other/Geodata/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
G1_IMD_,Current/Other/Geodata/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
cLon_,Current/Other/Longitudinal/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mLon_,Current/Other/Longitudinal/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MRI_YP_,Current/Other/Longitudinal/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OA_,Current/Other/Obstetric/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
OB_,Current/Other/Obstetric/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
OC_,Current/Other/Obstetric/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
cp_,Current/Other/Sample Definition/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kz_,Current/Other/Sample Definition/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mz_,Current/Other/Sample Definition/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Child_bloods_,Current/Other/Samples/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
child_metabolomics_,Current/Other/Samples/Child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Father_metabolomics_,Current/Other/Samples/Father/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Father_samples_,Current/Other/Samples/Father/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Mother_samples_,Current/Other/Samples/Mother/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
mum_metabolomics_,Current/Other/Samples/Mother/,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
maternal_grandfather_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
maternal_grandmother_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
mother_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
partner_complete_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
partner_proxy_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
paternal_grandfather_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
paternal_grandmother_social_class_,Current/Other/Social_Class/,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
ka_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kb_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kc_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kd_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ke_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kf_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kg_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kj_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kk_,Current/Quest/Child Based/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
